"Region","Risk_Type","Lag","mean_sim","sd_sim","q025","q975"
"HIC","Climate",-5,0.268764721778182,0.0684856643597783,0.130707095071591,0.398167836580648
"HIC","Climate",-4,-0.00372610198899524,0.0885864978437098,-0.177706324143661,0.169567668548687
"HIC","Climate",-3,-0.00491570836265201,0.11191367586668,-0.220453448086033,0.211524201211482
"HIC","Climate",-2,-0.00761244712920802,0.157574925091544,-0.304185269282691,0.301372751119795
"HIC","Climate",-1,-0.0166260604683596,0.345683471419784,-0.654855252200364,0.671277991282841
"HIC","Climate",1,-0.0148916936836394,0.341789279645912,-0.681164454839157,0.641051980414324
"HIC","Climate",2,-0.00662471576098017,0.152573695881961,-0.307778170134029,0.287470999432952
"HIC","Climate",3,-0.0502927782607452,0.107620030492355,-0.258617098960552,0.160914289979921
"HIC","Climate",4,-0.239795125343754,0.081691615500742,-0.398697701759571,-0.0846120646627654
"HIC","Climate",5,-0.29546910271557,0.0660796611780528,-0.424196216151545,-0.166082690269122
"HIC","Diseases",-5,0.531124036612111,0.17872460004031,0.155902280026126,0.861442841497361
"HIC","Diseases",-4,0.00774169366990087,0.288024840392865,-0.576064093302778,0.552930451641879
"HIC","Diseases",-3,0.00842042022158867,0.313579413623214,-0.621086282896636,0.593754063022889
"HIC","Diseases",-2,0.0211854478898213,0.639153830437589,-1.21033186006147,1.15939080588634
"HIC","Diseases",-1,0.015801068839039,0.528648227493453,-1.03929104225128,0.993014338826041
"HIC","Diseases",1,0.0072107561310276,0.518994724741416,-0.995452868928366,0.974328266494447
"HIC","Diseases",2,0.00354514921290838,0.64533791681804,-1.23964821811748,1.17065194620099
"HIC","Diseases",3,0.000354966587507064,0.314350727431564,-0.631073425633019,0.60945900465189
"HIC","Diseases",4,-0.00328797716216402,0.295002627214364,-0.560863667589023,0.556185166536711
"HIC","Diseases",5,-0.00191679852132832,0.207118731537202,-0.403609438121648,0.400680570108955
"HIC","Economic",-5,0.351455050435616,0.107461161582703,0.131906878611067,0.545512594490396
"HIC","Economic",-4,0.00540158207714306,0.208259722293303,-0.393650269247416,0.395845868905862
"HIC","Economic",-3,0.00893480286349112,0.25418594786022,-0.468655504832335,0.491020480462926
"HIC","Economic",-2,0.00366816279906062,0.431476046360488,-0.823206885652494,0.794961604943673
"HIC","Economic",-1,0.00238668440506103,0.396172982813027,-0.785733988660263,0.732310088260904
"HIC","Economic",1,-0.0152292579438919,0.395989681814206,-0.769353265355782,0.72942779631062
"HIC","Economic",2,-0.0222974129902967,0.426979042096182,-0.8457535477717,0.784632183278553
"HIC","Economic",3,-0.013606110212393,0.2474894663297,-0.505467711622549,0.463479988260528
"HIC","Economic",4,-0.0123924811759396,0.202375825563895,-0.390475902258749,0.369813207687338
"HIC","Economic",5,-0.00740185713654473,0.134435166972529,-0.264407024678399,0.258341466192369
"HIC","Food",-5,0.357097507020977,0.609778090217508,-0.763743264208081,1.38146046146809
"HIC","Food",-4,-0.0243167313677796,0.743838979853168,-1.28061718191564,1.30547630938628
"HIC","Food",-3,-0.0161352196743222,0.713089935460737,-1.24746477229341,1.28858732164696
"HIC","Food",-2,-0.0205666287718952,0.705379117513147,-1.29818831756443,1.2621422193272
"HIC","Food",-1,-0.0236158871497673,0.64189604416199,-1.25327921297409,1.22998266510104
"HIC","Food",1,0.0105735592712275,0.741919599349458,-1.36225542790483,1.53770184369096
"HIC","Food",2,-0.00594084307811559,0.837986761075221,-1.3736089126907,1.71222457179167
"HIC","Food",3,0.00396017429404768,0.712176126978992,-1.19272817404147,1.45778548890542
"HIC","Food",4,0.000993861640316833,0.655495527063677,-1.10202180345692,1.30279323948591
"HIC","Food",5,0.00834409786952201,0.534669080099576,-0.891077302351156,1.09473073469082
"HIC","GeoConflict",-5,0.0908288683035175,0.114816167156802,-0.133026813744357,0.31930973307209
"HIC","GeoConflict",-4,-0.00502416577112615,0.165983792871342,-0.326333517009647,0.313076375086249
"HIC","GeoConflict",-3,-0.00882978500288286,0.267271884041836,-0.511839632140313,0.504058187750046
"HIC","GeoConflict",-2,-0.0183229757033053,0.778214803845428,-1.4982965887256,1.52609181654118
"HIC","GeoConflict",-1,-0.0143486130901532,0.698436204038342,-1.34667994246953,1.4105862964145
"HIC","GeoConflict",1,-0.00585583652829323,0.671557959702478,-1.26603156003889,1.32443816866795
"HIC","GeoConflict",2,0.00638820778944975,0.786583709900385,-1.49342179270823,1.48602425297211
"HIC","GeoConflict",3,0.00271116845341974,0.279275338344591,-0.555936848400387,0.546301292723892
"HIC","GeoConflict",4,0.695219857871883,0.141642087379007,0.417549034469754,0.957061690693565
"HIC","GeoConflict",5,0.576222338016223,0.0889963462314776,0.399513613503429,0.749524288170972
"HIC","Geophysical",-5,0.0453511626492942,0.211547837843706,-0.360458216598716,0.44354465170633
"HIC","Geophysical",-4,-0.00396729589739301,0.244081456056456,-0.45735623254579,0.449430058149354
"HIC","Geophysical",-3,-0.00379226061292744,0.276722752959108,-0.518794879787615,0.514319996454307
"HIC","Geophysical",-2,-0.00252387751415708,0.294830684938223,-0.57972165342669,0.556025715784085
"HIC","Geophysical",-1,-0.00300467827999053,0.25839708530902,-0.52377075540469,0.490783568839052
"HIC","Geophysical",1,-0.00153332889389395,0.2556316014953,-0.50143056507219,0.497922664171518
"HIC","Geophysical",2,0.000765881023912168,0.293364151940184,-0.565252901870279,0.545647992731586
"HIC","Geophysical",3,-0.0127140049330313,0.271665238237612,-0.534415288532871,0.511818552525246
"HIC","Geophysical",4,-0.114592834422319,0.236362666387301,-0.529275351326776,0.348498733998995
"HIC","Geophysical",5,-0.161478759021976,0.201333275250969,-0.511741657852061,0.244821951801004
"HIC","Tech",-5,0.194970183745807,0.0820322422078632,0.0346828700137006,0.347955037393862
"HIC","Tech",-4,0.000795201493055407,0.102745268973367,-0.199092112932564,0.199865094239917
"HIC","Tech",-3,0.0018296164914821,0.126644018294124,-0.244061317151557,0.25115743206706
"HIC","Tech",-2,0.000773076386407855,0.17548703071646,-0.335516192465131,0.335888191145339
"HIC","Tech",-1,0.000854434663593512,0.337829747360856,-0.667332193153851,0.655034769271313
"HIC","Tech",1,-0.0185806651685723,0.330172599480356,-0.644532106288627,0.632000437912638
"HIC","Tech",2,-0.00900192098042154,0.171802477942811,-0.346244929279138,0.323666846122248
"HIC","Tech",3,-0.0387091372248222,0.123897897383443,-0.273020903544984,0.200127393013289
"HIC","Tech",4,-0.162591582060607,0.0957425633611296,-0.349568559767729,0.0263230584437417
"HIC","Tech",5,-0.201027860315589,0.0776251602408329,-0.348238842265354,-0.0453850435371122
"HIC","Terror",-5,0.142749779771832,0.217275825641189,-0.268081832632113,0.55064647897726
"HIC","Terror",-4,-0.00437625245062719,0.304763402897261,-0.584128542968666,0.589402352813414
"HIC","Terror",-3,-0.00415690856188666,0.323192273644894,-0.620725794137834,0.603722046738768
"HIC","Terror",-2,-0.0105521328479253,0.46467172787543,-0.872131194292318,0.866338081279146
