"Region","Risk_Type","Year","Risk_Score","best_horizon","future_shocks","past_shocks","z_risk","z_future","z_past","predictive_capacity_component","past_component","anticipatory_skill_component","predictive_capacity_component_roll3","anticipatory_skill_component_roll3"
"Global","Climate",2006,2,2,7.05978233167406,7.00023402709574,-2.41454103869127,0.784497976360136,0.83639127584616,-1.8942025586918,-2.01950105993391,0.125298501242102,NA,NA
"Global","Climate",2007,2.585169413,2,6.76865728706895,7.54940172487357,-1.55890201087097,0.251402826401125,1.96060950896731,-0.391912371615359,-3.05639810606189,2.66448573444653,-0.761754274685972,1.020074802669
"Global","Climate",2008,3.45890411,2,6.62971124305287,7.05978233167406,-0.281320698339264,-0.0030289497156754,0.958294457750864,0.000852106249248319,-0.26958806606912,0.270440172318368,-0.0184193789907168,1.23421648793102
"Global","Climate",2009,2.836032389,2,6.47753224246383,6.76865728706895,-1.19208831874665,-0.281692323557887,0.362323346216758,0.33580212839396,-0.431921428634197,0.767723557028157,0.134913491603436,0.374766084715958
"Global","Climate",2010,3.492814215,2,6.47091576417735,6.62971124305287,-0.23173709292364,-0.293808122420592,0.0778825884391173,0.0680862401671009,-0.0180482846342493,0.0861345248013502,0.165699752605662,0.309050579155433
"Global","Climate",2011,3.593,2,6.03422819726968,6.47753224246383,-0.0852446998244578,-1.09345084735911,-0.233647765317348,0.0932108892559261,0.0199172336191327,0.0732936556367934,0.19948972465703,0.168605836456425
"Global","Climate",2012,3.400133824,2,5.98129637097784,6.47091576417735,-0.36725504360854,-1.19037723826075,-0.24719256330676,0.437172044548064,0.0907827156169308,0.346389328931133,0.159754325819507,0.149941987906472
"Global","Climate",2013,3.7,2,6.23933902415055,6.03422819726968,0.0712114886618886,-0.717861082615259,-1.14114923060792,-0.0511199563454676,-0.0812629354969586,0.030142979151491,0.0245146108117142,0.19392026670367
"Global","Climate",2014,3.934673367,2,6.21948958929111,5.98129637097784,0.414352615204668,-0.754208479203374,-1.24950761452321,-0.312508255767454,-0.517736747795839,0.205228492028385,-0.197217486014755,0.142753104557548
"Global","Climate",2015,4.050406504,2,6.41798393788551,6.23933902415055,0.583578460967174,-0.390734513322229,-0.721260492936162,-0.228024245931344,-0.42091208842411,0.192887842492767,-0.434342616825495,0.0363973545234325
"Global","Climate",2016,4.076388889,2,5.9614469361184,6.21948958929111,0.621570095779182,-1.22672463484886,-0.761894886904396,-0.762495348777689,-0.473571077826835,-0.288924270950854,-0.445590767994724,-0.0424048815108823
"Global","Climate",2017,4.257340242,2,6.41798393788551,6.41798393788551,0.88615849757196,-0.39073451332223,-0.35555094722205,-0.346252709275139,-0.315074493200579,-0.0311782160745593,-0.28065889406888,0.46166524916695
"Global","Climate",2018,4.413748177,2,6.76204080878247,5.9614469361184,1.11485933270393,0.23928702753842,-1.29014200849144,0.266771375846188,-1.43832685868007,1.70509823452626,0.501056148031889,1.20670926300939
"Global","Climate",2019,4.35059761,2,7.4766204637223,6.41798393788551,1.02252010827802,1.54779330471054,-0.355550947222052,1.58264977752462,-0.363557993051846,1.94620777057646,1.14478402024418,1.64247819719282
"Global","Climate",2020,4.256809339,2,7.60895002945189,6.76204080878247,0.88538220729312,1.79010928196463,0.348778548227346,1.58493090736175,0.308802320886018,1.27612858647573,1.36225003347251,1.05957033874874
"Global","Climate",2021,4.014760148,2,7.57586763801949,7.4766204637223,0.531456096544862,1.72953028765111,1.81161673108379,0.919169415531171,0.962794756337152,-0.0436253408059811,NA,NA
"Global","Diseases",2006,2.25,5,0.947913709015971,0.685544735984765,-1.81511827150638,-0.441814933688584,-0.571244179234539,0.801946358762527,1.03687574722027,-0.234929388457747,NA,NA
