"term","real_est","std.error","statistic","p.value","Risk_Type","Lag","N","mean_sim","sd_sim","q025","q975","z","signif","sig.two"
"Risk_Score",0.150135505841329,0.0754301884483358,1.9903901730825,0.0664408826334169,"Climate",-5,16,0.272000122783278,0.0370703626193684,0.197455525085073,0.343595947809098,-3.2873866973796,TRUE,"SIM"
"Risk_Score",-0.129280009817824,0.0440090703561555,-2.93757647620342,0.0108083803489432,"Climate",-4,16,-0.000229751437225112,0.0481970744941216,-0.0962571356661229,0.095562741290023,-2.67755376721752,TRUE,"BOTH"
"Risk_Score",-0.17738205518178,0.0563883888742475,-3.14571951288344,0.00715223338142287,"Climate",-3,16,-0.000173492882028231,0.0611795906350263,-0.12340529167183,0.123867624165743,-2.89653069692652,TRUE,"BOTH"
"Risk_Score",-0.213554839485477,0.111998444544352,-1.90676611942506,0.0772843905855772,"Climate",-2,16,-0.000265088112177375,0.0892466368285702,-0.183591462788665,0.166054938947591,-2.38989119313256,TRUE,"SIM"
"Risk_Score",-0.368544089244353,0.203216126359702,-1.81355729905023,0.0912339027835002,"Climate",-1,16,-0.000449278781125105,0.331312630126217,-0.667397516144947,0.623283517647128,-1.11101955371577,FALSE,"NONE"
"Risk_Score",-0.142704709434647,0.23230313775833,-0.614303839421687,0.548868166562331,"Climate",1,16,-0.00223860837074184,0.343329499027591,-0.67203659607661,0.642967847828971,-0.409129135310967,FALSE,"NONE"
"Risk_Score",0.0942176887806206,0.124631727075281,0.755968732774684,0.462199244854786,"Climate",2,16,-0.000123066582367816,0.091400358638593,-0.176509969638032,0.172829430893081,1.03217051626703,FALSE,"NONE"
"Risk_Score",7.6948998922232e-05,0.101255131428056,0.000759951597879325,0.999404369064991,"Climate",3,16,-0.045777495121404,0.0622070708277714,-0.164067588699081,0.0740158921756379,0.737125916879777,FALSE,"NONE"
"Risk_Score",-0.151313031687357,0.155193597617063,-0.974995322041046,0.346109359858153,"Climate",4,16,-0.237540326809368,0.0471888936278934,-0.329497788194439,-0.148091555021612,1.8272794399876,FALSE,"NONE"
"Risk_Score",-0.232921475805377,0.134110642386636,-1.73678592287906,0.104365985279789,"Climate",5,16,-0.293339851921577,0.0379015597260444,-0.36599247298775,-0.220774923810964,1.59408680151712,FALSE,"NONE"
"Risk_Score",-0.0999595750759598,0.0267755411154549,-3.73324201535045,0.00250616921921236,"Geophysical",-5,16,0.0546391830076004,0.0922265188283863,-0.123081670846496,0.232819985010091,-1.6762939775623,FALSE,"REG"
"Risk_Score",-0.122529286284204,0.0288812956752036,-4.24251348215667,0.000960470347498119,"Geophysical",-4,16,0.000894572719396726,0.112412754375857,-0.210664648613728,0.214133193595922,-1.0979524493362,FALSE,"REG"
"Risk_Score",-0.12337736448021,0.0415602298638808,-2.96864008895762,0.0108752134746427,"Geophysical",-3,16,0.00146057813484743,0.140461405730735,-0.270638921888204,0.271087301830182,-0.888770420355701,FALSE,"REG"
"Risk_Score",-0.0471380343092084,0.0455431224764406,-1.03501981739598,0.319530295562424,"Geophysical",-2,16,0.00307404551543147,0.186555464774435,-0.352487908912938,0.364017083228271,-0.269153626163412,FALSE,"NONE"
"Risk_Score",-0.0248368870459656,0.0830706557485861,-0.298985084710715,0.769677450674029,"Geophysical",-1,16,0.00469900582332654,0.255797030288507,-0.481995253677007,0.50880048307558,-0.115466128891252,FALSE,"NONE"
"Risk_Score",-0.0113208831984469,0.099963876765474,-0.113249741454174,0.911562775120784,"Geophysical",1,16,0.00264339728625644,0.260349407397707,-0.491574503435944,0.508144471097601,-0.0536366901091948,FALSE,"NONE"
"Risk_Score",-0.015790753775878,0.0526393931021875,-0.299979784060653,0.768935480854566,"Geophysical",2,16,0.0017694288671434,0.191179097712238,-0.373462233756342,0.354954167297344,-0.0918520008366865,FALSE,"NONE"
"Risk_Score",-0.0391591965143394,0.057416343065093,-0.682021780278562,0.507195366252628,"Geophysical",3,16,-0.0144352208234678,0.143265903040494,-0.293228713030163,0.257002376108253,-0.172574040062298,FALSE,"NONE"
"Risk_Score",-0.150894502607044,0.114872074273085,-1.31358734106536,0.211696205571429,"Geophysical",4,16,-0.129498989994403,0.112221501721689,-0.349869711641746,0.0841988643204279,-0.190654306745084,FALSE,"NONE"
"Risk_Score",-0.198037249968125,0.109935057236457,-1.8014021636626,0.0948680327538723,"Geophysical",5,16,-0.174161014568627,0.0903877306525871,-0.351342705999133,-0.000727115138720651,-0.264153499895562,FALSE,"NONE"
"Risk_Score",0.626181681433544,0.214514806993434,2.91906041456947,0.0112115682478553,"Diseases",-5,16,0.538572615557437,0.104677124122049,0.323502169819642,0.741442836587374,0.836945670899006,FALSE,"REG"
"Risk_Score",0.562489240916523,0.318857108303652,1.76407935174792,0.0995172890725321,"Diseases",-4,16,0.00467270126556872,0.175470620634278,-0.344072580720045,0.347230877964946,3.17897399367826,TRUE,"SIM"
"Risk_Score",0.638992503597323,0.301304065063556,2.12075633119167,0.0522834159413689,"Diseases",-3,16,0.0058309303839628,0.195323258231774,-0.383986467250251,0.387324733977353,3.2416087000865,TRUE,"SIM"
"Risk_Score",0.867289539043091,0.471600682735977,1.83903367995894,0.0872130622692659,"Diseases",-2,16,0.0247295373035347,0.651109629915998,-1.24593917379345,1.22465374527315,1.29403707613456,FALSE,"NONE"
"Risk_Score",0.902627369085871,0.498580504533661,1.81039443154748,0.0917444561600217,"Diseases",-1,16,0.0251107688987844,0.539895839039507,-1.05266961464348,1.04440322885553,1.62534425482556,FALSE,"NONE"
"Risk_Score",0.665437420877536,0.634965286154871,1.04799023724146,0.312399349365943,"Diseases",1,16,0.00293577009254602,0.536174994638067,-1.03600033969807,1.04315389659062,1.23560713836011,FALSE,"NONE"
"Risk_Score",0.248629460792,0.631928761972616,0.39344539409139,0.69991716346729,"Diseases",2,16,0.0127092806061469,0.647679699399848,-1.26528328286612,1.24391904431734,0.364254399828282,FALSE,"NONE"
"Risk_Score",0.555495572303348,0.639929615702995,0.868057296728029,0.39999866954124,"Diseases",3,16,0.00399143783709368,0.194283618270701,-0.384736841732793,0.378624887901871,2.83865484581324,TRUE,"SIM"
"Risk_Score",0.598881008560353,0.599935283813699,0.998242685033219,0.335103614941635,"Diseases",4,16,0.00237052272395393,0.177712222233029,-0.364611575526676,0.346422065163626,3.3566092322801,TRUE,"SIM"
"Risk_Score",0.776001670439424,0.570566933760964,1.36005370189315,0.195312467737756,"Diseases",5,16,0.00178188988471037,0.12041791004826,-0.242920252481126,0.229348895731373,6.42944043991816,TRUE,"SIM"
"Risk_Score",-0.144859313822973,0.395455545047267,-0.36630998259402,0.721081762645839,"Food",-5,13,0.46320970230651,0.374849777111499,-0.278802283432604,1.15903031981692,-1.62216720739469,FALSE,"NONE"
"Risk_Score",-1.00666945223521,0.523140165854298,-1.92428247330483,0.0832177027695255,"Food",-4,12,0.02562680549405,0.525335398996954,-0.948148212380066,1.02882329574513,-1.9650232207848,TRUE,"SIM"
"Risk_Score",-0.795823694156024,0.451412084150534,-1.76296497612287,0.111739008659319,"Food",-3,11,0.0211281567078943,0.533779803406425,-0.967352405492222,1.06237622731316,-1.53050348786217,FALSE,"NONE"
