"Region","Year","horizon","n_future","n_past","future_window_years_min","future_window_years_mean","future_window_years_max","past_window_years_min","past_window_years_mean","past_window_years_max","predictive_capacity","predictive_capacity_se","predictive_capacity_p","past_at_horizon","past_at_horizon_se","past_at_horizon_p","best_horizon","past_at_best_horizon","anticipatory_skill","risk_set"
"UMC",2011,3,4,4,4,4,4,4,4,4,12.1900160583233,4.19042579147071,0.100645337831481,9.41948151706912,6.63814135801825,0.291701180647915,3,9.41948151706912,2.77053454125414,"Climate, Diseases, Conflicts, Terrorism"
"UMC",2012,2,4,4,3,3,3,3,3,3,4.12553509087423,8.60811896661168,0.679040909317776,0.840446125936723,9.11308430056846,0.934925925190318,2,0.840446125936723,3.2850889649375,"Climate, Diseases, Conflicts, Terrorism"
"UMC",2013,1,4,4,2,2,2,2,2,2,8.13581047299697,4.06141899766566,0.183069453797988,7.30374135067395,5.18370229538941,0.294204835829536,1,7.30374135067395,0.832069122323015,"Climate, Diseases, Conflicts, Terrorism"
"UMC",2014,1,4,4,2,2,2,2,2,2,4.96269342917715,0.852032110469651,0.0282341645107491,4.89667861653568,0.998250118589006,0.0391364644249098,1,4.89667861653568,0.066014812641475,"Climate, Diseases, Conflicts, Terrorism"
"UMC",2015,4,4,4,5,5,5,5,5,5,5.17270601982205,2.74741738108672,0.200438365733227,5.06094156078443,3.4282084914842,0.277879940146184,4,5.06094156078443,0.111764459037622,"Climate, Diseases, Conflicts, Terrorism"
"UMC",2016,1,4,4,2,2,2,2,2,2,4.88985134264623,1.79059149980886,0.112008137119925,4.83988915335481,2.0059180371619,0.137272486367695,1,4.83988915335481,0.0499621892914206,"Climate, Diseases, Conflicts, Terrorism"
"UMC",2017,1,4,4,2,2,2,2,2,2,3.89385854385919,1.90592523565417,0.177771946578946,4.4639574777918,1.64215749700939,0.1128729805526,1,4.4639574777918,-0.570098933932611,"Climate, Diseases, Conflicts, Terrorism"
"UMC",2018,5,4,4,3,5,6,6,6,6,3.30573474156195,2.08115432960557,0.253125585705706,3.87134511511002,0.521916129286146,0.0176941797075323,5,3.87134511511002,-0.565610373548067,"Climate, Diseases, Conflicts, Terrorism"
"UMC",2019,3,4,4,2,3.5,4,4,4,4,4.4190521074618,1.14241230072253,0.0608009533394853,3.58231006492882,0.543119278825025,0.0222226889521174,3,3.58231006492882,0.836742042532974,"Climate, Diseases, Conflicts, Terrorism"
"UMC",2020,1,4,4,1,1.75,2,2,2,2,4.17955755532931,0.968225127525907,0.0496984859766971,3.72473008875735,0.587219955568103,0.0239650377742482,1,3.72473008875735,0.454827466571968,"Climate, Diseases, Conflicts, Terrorism"
"LMC",2007,1,4,4,2,2,2,2,2,2,-1.37639362919416,3.31105509046617,0.717989016891846,-1.47058390257105,3.55859419171841,0.719518643056448,1,-1.47058390257105,0.0941902733768878,"Climate, Diseases, Conflicts, Terrorism"
"LMC",2008,3,4,4,4,4,4,4,4,4,3.85932588597395,4.45081265330957,0.477293411934876,5.01778890566719,4.46970573536415,0.378263976908376,3,5.01778890566719,-1.15846301969324,"Climate, Diseases, Conflicts, Terrorism"
"LMC",2011,4,4,4,5,5,5,5,5,5,10.8844394439271,3.02052265803516,0.0691214935643064,10.3566137820667,7.85443911617223,0.318058977674399,4,10.3566137820667,0.527825661860373,"Climate, Diseases, Conflicts, Terrorism"
"LMC",2012,3,4,4,4,4,4,4,4,4,3.70648757729731,6.60922294707995,0.631376255245981,-1.78339284348819,8.63023053751107,0.855415377755505,3,-1.78339284348819,5.48988042078549,"Climate, Diseases, Conflicts, Terrorism"
"LMC",2013,2,4,4,3,3,3,3,3,3,7.13196820811615,2.94508139524667,0.136466734113808,5.63604229859187,4.43644225894998,0.331731710179443,2,5.63604229859187,1.49592590952428,"Climate, Diseases, Conflicts, Terrorism"
"LMC",2014,1,4,4,2,2,2,2,2,2,4.17148531439084,1.1533897806632,0.0686677826803623,3.64127557121436,1.16298282723932,0.0886537227463193,1,3.64127557121436,0.530209743176473,"Climate, Diseases, Conflicts, Terrorism"
"LMC",2015,4,4,4,5,5,5,5,5,5,4.26876618336725,2.66187635780052,0.249979407566044,3.6697872958891,3.36279975958194,0.389082658636578,4,3.6697872958891,0.598978887478144,"Climate, Diseases, Conflicts, Terrorism"
"LMC",2016,3,4,4,4,4,4,4,4,4,4.01903171157562,1.58292372993594,0.126378185321667,4.04145710776445,1.89847198856773,0.167050940155089,3,4.04145710776445,-0.0224253961888294,"Climate, Diseases, Conflicts, Terrorism"
"LMC",2017,1,4,4,2,2,2,2,2,2,3.33180114871658,1.51128524941598,0.158294233060872,3.6162394922011,1.43297188984507,0.127641513592154,1,3.6162394922011,-0.284438343484521,"Climate, Diseases, Conflicts, Terrorism"
"LMC",2018,1,4,4,2,2,2,2,2,2,3.0807624196523,1.00094041028025,0.0913296536397008,2.95947040971484,0.650724711585548,0.045101094217956,1,2.95947040971484,0.121292009937461,"Climate, Diseases, Conflicts, Terrorism"
"LMC",2019,1,4,4,2,2,2,2,2,2,3.53865858002776,0.603278244909677,0.0278554972171597,3.28851232435055,0.260314777735302,0.00620783190042499,1,3.28851232435055,0.250146255677211,"Climate, Diseases, Conflicts, Terrorism"
"LMC",2020,1,4,4,1,1.75,2,2,2,2,2.8504872112771,1.00916837042611,0.105815865325102,3.18108887873079,0.434774003560195,0.0181723120037876,1,3.18108887873079,-0.330601667453692,"Climate, Diseases, Conflicts, Terrorism"
"LIC",2007,5,4,4,6,6,6,6,6,6,-1.22767745140941,1.65564163252379,0.535632812817874,-1.56775911630639,1.72137038414218,0.458559057171931,5,-1.56775911630639,0.340081664896979,"Climate, Diseases, Conflicts, Terrorism"
"LIC",2008,4,4,4,5,5,5,5,5,5,2.08530763577416,2.45172798517242,0.484605417736034,2.40635950786175,2.98762056759535,0.505102259506736,4,2.40635950786175,-0.32105187208759,"Climate, Diseases, Conflicts, Terrorism"
"LIC",2011,1,4,4,2,2,2,2,2,2,5.34434650923338,3.6155154110893,0.277434279346433,5.40788810773296,4.80231061207297,0.377083964737256,1,5.40788810773296,-0.0635415984995849,"Climate, Diseases, Conflicts, Terrorism"
"LIC",2012,4,4,4,5,5,5,5,5,5,2.26818815633507,2.56181579797478,0.469354940697336,-2.08524675512491,4.91348556661441,0.712572273043984,4,-2.08524675512491,4.35343491145997,"Climate, Diseases, Conflicts, Terrorism"
"LIC",2013,3,4,4,4,4,4,4,4,4,2.9697400750585,0.767469860016206,0.0607624983831425,2.21313664194792,3.1698961135814,0.557323589689856,3,2.21313664194792,0.75660343311058,"Climate, Diseases, Conflicts, Terrorism"
"LIC",2014,5,4,4,6,6,6,6,6,6,1.5051144936576,0.60198692509681,0.129591087084987,1.92873902023262,0.356258601711995,0.0324656599392054,5,1.92873902023262,-0.423624526575017,"Climate, Diseases, Conflicts, Terrorism"
"LIC",2015,1,4,4,2,2,2,2,2,2,2.73523764018862,1.34311492868085,0.178627328111794,1.99346914354471,1.01391592663955,0.188194604631491,1,1.99346914354471,0.741768496643906,"Climate, Diseases, Conflicts, Terrorism"
"LIC",2016,3,4,4,4,4,4,4,4,4,1.98973456574937,0.475180114444991,0.0525756567407791,1.72402159156449,0.535479622489381,0.0844332022115761,3,1.72402159156449,0.265712974184876,"Climate, Diseases, Conflicts, Terrorism"
"LIC",2017,2,4,4,3,3,3,3,3,3,1.61697162952428,0.717213304465524,0.152870624156857,2.0458206714825,0.465603770825092,0.0480905206085564,2,2.0458206714825,-0.42884904195822,"Climate, Diseases, Conflicts, Terrorism"
"LIC",2018,1,4,4,2,2,2,2,2,2,1.63091539881575,0.366342375192446,0.0469322808557736,1.06911331419081,0.424867415646904,0.1282423064885,1,1.06911331419081,0.561802084624945,"Climate, Diseases, Conflicts, Terrorism"
"LIC",2019,1,4,4,2,2,2,2,2,2,1.81145353551225,0.341442289034585,0.0337409001903858,1.60702547634319,0.321655635075268,0.0378051302500392,1,1.60702547634319,0.204428059169061,"Climate, Diseases, Conflicts, Terrorism"
"LIC",2020,2,4,4,1,2.5,3,3,3,3,0.737086734203108,0.598165234699234,0.343064165467037,1.36635026931823,0.130388527091574,0.00898403061742546,2,1.36635026931823,-0.629263535115124,"Climate, Diseases, Conflicts, Terrorism"
