"Region","Year","horizon","n_future","n_past","future_window_years_min","future_window_years_mean","future_window_years_max","past_window_years_min","past_window_years_mean","past_window_years_max","predictive_capacity","predictive_capacity_se","predictive_capacity_p","past_at_horizon","past_at_horizon_se","past_at_horizon_p","best_horizon","past_at_best_horizon","anticipatory_skill"
"Global",2006,3,6,6,4,4,4,4,4,4,-5.99994165743978,3.91929428424933,0.200551744121123,-7.70176255749629,3.69786889493276,0.105692751273826,3,-7.70176255749629,1.70182090005652
"Global",2007,1,8,8,2,2,2,2,2,2,-0.501481612747034,1.05768765105774,0.652168930432796,-0.426851444591487,1.1590780473812,0.725317004223535,1,-0.426851444591487,-0.0746301681555461
"Global",2008,1,8,8,2,2,2,2,2,2,0.176919606714032,1.16766979502499,0.884535462883032,0.377813704383442,1.36670870320305,0.791485425179989,1,0.377813704383442,-0.20089409766941
"Global",2009,1,7,7,2,2,2,2,2,2,0.503097906348822,1.07868114127017,0.660542900863662,0.707875856820024,1.01951581912187,0.518410493448995,1,0.707875856820024,-0.204777950471202
"Global",2010,1,7,7,2,2,2,2,2,2,0.438898043948042,1.03035317175555,0.687845248894374,0.755000224010448,0.908306652461824,0.443720407724619,1,0.755000224010448,-0.316102180062406
"Global",2011,5,8,8,3,5.625,6,6,6,6,4.5781171869642,2.69612419851233,0.140419764919464,3.22721491919517,3.74031160057098,0.421380230196075,5,3.22721491919517,1.35090226776903
"Global",2012,5,8,8,2,5.5,6,6,6,6,-0.287574228612909,2.40815185463726,0.908843069334616,-1.32233016090907,2.79982672901123,0.65340796813035,5,-1.32233016090907,1.03475593229616
"Global",2013,4,8,8,1,4.5,5,5,5,5,3.25072532488629,2.34569629107165,0.215111092833288,1.32210723076019,2.89169647228886,0.663608423262117,4,1.32210723076019,1.92861809412611
"Global",2014,5,7,8,6,6,6,5,5.875,6,4.80359759542032,0.443688356408413,0.000116670295086496,4.97700714779066,0.55465697088855,0.000107060825945502,5,4.97700714779066,-0.173409552370338
"Global",2015,4,7,8,5,5,5,3,4.75,5,4.53951373866787,1.67044525247472,0.0418972870573735,3.75529887942894,1.85945676705813,0.0899542657561566,4,3.75529887942894,0.784214859238928
"Global",2016,3,7,8,4,4,4,1,3.625,4,4.76174680893011,1.04455336699149,0.00606441529830746,4.35227464127128,1.23777435864088,0.0125762433399969,3,4.35227464127128,0.409472167658828
"Global",2017,2,7,7,3,3,3,3,3,3,3.91393512840549,1.2739103909605,0.0277087099720554,3.89225429506678,1.11266148738572,0.017318715863409,2,3.89225429506678,0.0216808333387153
"Global",2018,1,7,7,2,2,2,2,2,2,3.57164432520555,0.687317030554404,0.00347715284722628,3.09413862016212,0.673791144808033,0.00588219906663649,1,3.09413862016212,0.477505705043429
"Global",2019,3,7,7,1,3.28571428571429,4,4,4,4,3.96360528819545,1.05324344250005,0.013113771695694,3.57606746269372,0.503752155453574,0.000859388979704932,3,3.57606746269372,0.387537825501724
"Global",2020,2,6,7,1,2.66666666666667,3,2,2.85714285714286,3,3.13104254936705,1.13881844780987,0.0514072730964625,3.18019570319224,0.731601410429057,0.00738075154675189,2,3.18019570319224,-0.0491531538251957
"Global",2021,1,5,6,2,2,2,1,1.83333333333333,2,3.05780635204886,2.27206751259459,0.271029571721603,3.63414135428625,1.97046671011169,0.13890334483653,1,3.63414135428625,-0.576335002237391
"HIC",2006,1,6,6,2,2,2,2,2,2,-4.44812699544317,3.28658803723984,0.24735021431158,-6.41449767308534,3.19295847833398,0.114936369385513,1,-6.41449767308534,1.96637067764217
"HIC",2007,1,8,8,2,2,2,2,2,2,0.247473559295816,0.634864831929923,0.710141742988206,0.429130368195375,0.745915920227095,0.585995806582404,1,0.429130368195375,-0.181656808899559
"HIC",2008,1,8,8,2,2,2,2,2,2,0.615625291906275,0.717003488993567,0.423524970590311,0.414759183961075,0.803056744219721,0.623998390488381,1,0.414759183961075,0.2008661079452
"HIC",2009,1,7,7,2,2,2,2,2,2,0.410412515173253,0.732736530749597,0.599570034954267,0.597664333408173,0.705895076826406,0.435814665554779,1,0.597664333408173,-0.187251818234921
"HIC",2010,2,7,7,3,3,3,3,3,3,0.367454759913459,0.683187838579757,0.613745909002652,0.655975124579875,0.613170040123531,0.333607533039991,2,0.655975124579875,-0.288520364666416
"HIC",2011,5,8,8,3,5.625,6,6,6,6,1.69100929201599,2.42476168135902,0.511661621846355,0.604100569940014,2.2205470194848,0.794702604554405,5,0.604100569940014,1.08690872207598
"HIC",2012,1,8,8,2,2,2,2,2,2,-0.22461333473662,2.01803885276483,0.915006215511445,-0.720210085602006,1.71061946681437,0.688402985573758,1,-0.720210085602006,0.495596750865386
"HIC",2013,2,8,8,1,2.75,3,3,3,3,0.96887268819059,2.34961967388545,0.6944089157169,0.458849183854262,1.98000047464854,0.824439794831937,2,0.458849183854262,0.510023504336328
"HIC",2014,5,7,8,6,6,6,5,5.875,6,2.37345268630636,1.4861698601014,0.171149555854935,2.38889229806399,1.06124346656114,0.0653485089790107,5,2.38889229806399,-0.0154396117576296
"HIC",2015,4,7,8,5,5,5,3,4.75,5,3.90843190736684,1.26783868975096,0.0273838837304883,2.9719413689819,1.36430167852672,0.0722243695573163,4,2.9719413689819,0.936490538384943
"HIC",2016,3,7,8,4,4,4,1,3.625,4,3.66129890427823,1.17741184391306,0.0265623333171685,3.07263927406708,1.34015381987037,0.0617107599944765,3,3.07263927406708,0.588659630211156
"HIC",2017,1,7,7,2,2,2,2,2,2,3.19140697603103,1.2180818370951,0.0470962434616332,3.23517858057374,0.959311243542593,0.0198378004406911,1,3.23517858057374,-0.0437716045427177
"HIC",2018,1,7,7,2,2,2,2,2,2,2.2076792308129,1.11596993179468,0.104810938908045,2.28000808145814,1.03301393270306,0.0783859378430319,1,2.28000808145814,-0.0723288506452349
"HIC",2019,3,7,7,1,3.28571428571429,4,4,4,4,1.55006681304172,1.40829592224218,0.321186045198117,2.01299202223813,1.1054915018655,0.128260176577426,3,2.01299202223813,-0.462925209196414
"HIC",2020,2,6,7,1,2.66666666666667,3,2,2.85714285714286,3,0.749458039059594,1.23923311500081,0.577958357720264,1.2480155646716,1.1778282840139,0.337810370293138,2,1.2480155646716,-0.498557525612005
"HIC",2021,1,5,6,2,2,2,1,1.83333333333333,2,1.49809620857098,2.17556108225248,0.540546283782346,0.730850772132218,1.61409609911823,0.67417056719569,1,0.730850772132218,0.767245436438764
